area_en,avg_price_per_region
DUBAI SPORTS CITY,1514780.59
Al Khabeesi,19206680.0
Al Rashidiya,2015540.45
PALMAROSA,4436667.23
POLO TOWNHOUSES IGO,3958702.91
MAJAN,1752983.94
Al Kheeran,2784312.7
Al Twar Second,2100000.0
Al Goze Third,80000000.0
Al Ttay,6406221.61
DUBAI WATER CANAL,9230353.32
MUDON,3012517.12
Um Suqaim First,23989504.87
Nad Al Shiba First,9139847.25
Lehbab Second,6412492.62
THE FIELD,3592817.98
CITY WALK,3903042.16
Al Yelayiss 1,2940732.65
JUMEIRAH LAKES TOWERS,2010748.68
Madinat Latifa,750000.0
Al Qusais Second,23790467.52
Saih Shuaib 2,18639943.75
Al Goze Industrial Fourth,5000000.0
DUBAI CREEK HARBOUR,2456532.38
Business Bay,3338194.63
Nad Al Shiba Third,2957042.95
Nazwah,1000000.0
Al Wasl,6217850.46
JUMEIRAH PARK,6627255.61
Dubai Investment Park First,2016906.4
THE LAKES,4814171.4
AL KHAIL HEIGHTS,1568020.82
Al Buteen,2246498.87
MOTOR CITY,1605592.49
Um Suqaim Third,6069859.39
Madinat Al Mataar,3391509.62
Zaabeel First,5946649.62
Oud Metha,39671440.0
FALCON CITY OF WONDERS,9325375.71
DUBAI HARBOUR,4745241.41
Mirdif,4966888.32
AL Athbah,1240047.63
Lehbab First,300000.0
DUBAI STUDIO CITY,1098345.82
DUBAI HEALTHCARE CITY - PHASE 1,2335577.78
DUBAI LAND RESIDENCE COMPLEX,1163615.73
DUBAI SOUTH,1681832.36
Al Bada,11115174.81
TILAL AL GHAF,3740432.84
DMCC-EZ2,297124220.53
Ras Al Khor Industrial Second,15838204.1
Al Yufrah 1,4332288.6
SILICON OASIS,1407555.07
SUFOUH GARDENS,3903580.39
TECOM SITE A,18334012.7
THE VILLA,6369072.72
Al Qusais Industrial First,43033333.33
Al Muteena,11012593.32
Al Ras,5537500.0
Madinat Hind 4,1648595.18
Rega Al Buteen,1458638.0
Al Raffa,31344935.15
ARABIAN RANCHES III,2810897.68
Al Twar Fourth,1658923.08
Al Goze Fourth,5202471.6
Al Mizhar First,2447616.29
Al Mizhar Second,2880232.33
Al Warqa First,22167337.67
Wadi Al Amardi,3984886.2
DISCOVERY GARDENS,942809.93
Al Mizhar Third,782872.47
Mankhool,36680270.54
Port Saeed,25300487.0
Al Qusais Industrial Third,83000000.0
Al Hebiah Sixth,2996693.47
DUBAI INVESTMENT PARK SECOND,4493841.05
BUSINESS BAY,3193040.18
JUMEIRAH GOLF,8504059.77
Al Twar Third,3346224.29
Muhaisanah First,2251225.24
TECOM SITE D,1779290.58
Muhaisanah Second,10300000.0
JUMEIRAH HEIGHTS,3362746.86
AL FURJAN,1838725.53
DUBAI MARITIME CITY,5127934.17
ARJAN,1436453.18
Madinat Hind 3,1030766.3
Al Goze Industrial Third,159500000.0
Jumeirah Second,30549031.59
Al Murqabat,25361670.45
Palm Deira,7127612.47
Me'Aisem First,5588413.43
MBR DISTRICT 1,6419408.06
Al Qusais Industrial Fourth,15579056.52
Al Saffa Second,17514189.5
Al Safouh First,550675000.0
MEDYAN RACE COURSE VILLAS,32000000.0
MEYDAN AVENUE,1545439.92
BUSINESS PARK,90115482.39
Al Thanyah Fifth,3242263.38
Nad Shamma,2142857.14
MIRA,2703413.06
Al Hebiah First,10296003.85
Al Rowaiyah Third,20001818.54
JUMEIRAH VILLAGE CIRCLE,1365628.21
Al Waheda,1502947.96
Mushrif,1372125.09
Al Hebiah Fourth,8722583.9
MINA RASHID,2503127.87
Um Ramool,16195833.0
Ras Al Khor Industrial Third,33833333.33
Nadd Hessa,5009483.24
Island 2,83835124.36
Al Hebiah Third,3903304.65
PEARL JUMEIRA,23391652.95
Al Khawaneej First,4851778.81
Al Saffa First,14258000.0
Jabal Ali Industrial First,21866002.99
Al Eyas,37387125.0
JUMEIRA BAY,54664371.33
Um Suqaim Second,11570162.98
Jumeirah First,34340354.65
Al Warqa Fourth,2514121.37
LIWAN 2,3745667.14
Al Lusaily,2144000.0
JUMEIRAH VILLAGE TRIANGLE,1418305.93
Al Merkadh,9357834.46
DUBAI GOLF CITY,9074510.6
Abu Hail,2054334.68
TOWN SQUARE,1268503.8
Al Hebiah Fifth,2527265.26
Me'Aisem Second,17667435.27
Saih Shuaib 3,9000000.0
Palm Jabal Ali,23479088.27
THE VALLEY,2329031.41
SOBHA HEARTLAND,2627484.97
DUBAI INDUSTRIAL CITY,6232630.02
GRAND VIEWS,6189481.03
Al Aweer First,1048927.76
Trade Center First,15829620.78
Trade Center Second,3510788.62
DUBAI PRODUCTION CITY,1003209.72
REMRAAM,845033.94
Um Al Sheif,20715294.57
Al Goze First,12988215.78
Al Mararr,7521779.5
JABEL ALI HILLS,3204797.27
Al Warqa Third,1357801.3
JUMEIRAH BEACH RESIDENCE,7872366.25
Al Barsha Third,5103018.47
DUBAI INVESTMENT PARK FIRST,5188049.61
Al Baraha,9900000.0
Hor Al Anz,3006915.68
LIVING LEGENDS,4660734.98
Muhaisanah Fourth,60525000.0
THE WORLD,15322491.59
Al Barsha First,19365611.84
JUMEIRAH LIVING,2798350.36
EMIRATE LIVING,9995539.19
Nad Al Shiba Fourth,4783615.5
DAMAC HILLS,2154618.34
Al Khawaneej Second,2355429.78
Al Jafliya,1536936.48
Al Hudaiba,3066662.5
AL BARARI,14538548.88
MBR DISTRICT 7,1609841.81
SERENA,2382826.21
BLUEWATERS,9989211.25
Al Goze Industrial First,96300000.0
Al Yelayiss 2,1542637.12
Al Satwa,2794796.78
THE GREENS,1853876.96
Al Barsha Second,13904001.63
JADDAF WATERFRONT,3159395.62
Saih Shuaib 4,35811021.8
CHERRYWOODS,2918330.58
Al Khairan First,3329817.38
Palm Jumeirah,31933153.03
Al Nahda First,126697602.41
Al Barshaa South Third,33934300.43
DUBAI WATER FRONT,5574043.21
